sep = ;
Module;Occurance;Activity;Week;Day;Module Tutor;Room;Target;Actual;Pro Forma
GFW0018 - SECURITY AND ETHICS IN CYBERSPACE;1;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 10:00 AM - 12:00 PM;FAZIDAH BINTI OTHMAN;N/A;50;50;LINK
GFW0018 - SECURITY AND ETHICS IN CYBERSPACE;1M;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 10:00 AM - 12:00 PM;FAZIDAH BINTI OTHMAN;N/A;10;10;LINK
GFW0018 - SECURITY AND ETHICS IN CYBERSPACE;2;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 2:00 PM - 4:00 PM;BRYAN RAJ A/L PETER JABARAJ;N/A;50;50;LINK
GFW0030 - BUSINESS ANALYTICS FOR DECISION MAKER;1;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 9:00 AM - 11:00 AM;NOR LIYANA BT MOHD SHUIB;N/A;50;15;LINK
GFW0030 - BUSINESS ANALYTICS FOR DECISION MAKER;1M;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 9:00 AM - 11:00 AM;NOR LIYANA BT MOHD SHUIB;N/A;10;0;LINK
GFW0030 - BUSINESS ANALYTICS FOR DECISION MAKER;2;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 2:00 PM - 4:00 PM;NORJIHAN BINTI ABDUL GHANI;N/A;50;16;LINK
GFW0031 - COMPUTER NETWORKS FOR EVERYBODY;1;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 2:00 PM - 4:00 PM;ISMAIL BIN AHMEDY;N/A;50;49;LINK
GFW0031 - COMPUTER NETWORKS FOR EVERYBODY;1M;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 2:00 PM - 4:00 PM;ISMAIL BIN AHMEDY;N/A;10;10;LINK
GFW0031 - COMPUTER NETWORKS FOR EVERYBODY;2;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 10:00 AM - 12:00 PM;ISMAIL BIN AHMEDY;N/A;50;33;LINK
WIA1002 - DATA STRUCTURE;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 10:00 AM - 1:00 PM;Liew Shiung;Makmal Mikro 1 FSKTM (50);50;0;LINK
WIA1002 - DATA STRUCTURE;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 1:00 PM - 3:00 PM;LIEW CHEE SUN;Dewan Kuliah 1 FSKTM (280);50;0;LINK
WIA1002 - DATA STRUCTURE;10;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Friday 3:00 PM - 6:00 PM;;Makmal Lanjutan FSKTM (33);33;0;LINK
WIA1002 - DATA STRUCTURE;10;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 1:00 PM - 3:00 PM;NURUL BINTI JAPAR;Dewan Kuliah 2 FSKTM (280);33;0;LINK
WIA1002 - DATA STRUCTURE;2;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 10:00 AM - 1:00 PM;ADELEH ASEMI ZAVAREH;Makmal Mikro 6 FSKTM (45);45;1;LINK
WIA1002 - DATA STRUCTURE;2;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 1:00 PM - 3:00 PM;LIEW CHEE SUN;Dewan Kuliah 1 FSKTM (280);45;1;LINK
WIA1002 - DATA STRUCTURE;3;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 3:00 PM - 6:00 PM;Liew Shiung;Makmal Mikro 6 FSKTM (45);45;0;LINK
WIA1002 - DATA STRUCTURE;3;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 1:00 PM - 3:00 PM;LIEW CHEE SUN;Dewan Kuliah 1 FSKTM (280);45;0;LINK
WIA1002 - DATA STRUCTURE;4;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 3:00 PM - 6:00 PM;ADELEH ASEMI ZAVAREH;Makmal Mikro 1 FSKTM (50);50;1;LINK
